x
1,2
2,2
3,2
4,2
5,2
6,5
7,2
8,2
9,4
10,4
11,2
12,2
13,2
14,2
15,2
16,5
17,2
18,4
19,2
20,4
21,2
22,5
23,5
24,2
25,2
26,5
27,2
28,2
29,4
30,2
31,4
32,2
33,2
34,2
35,4
36,2
37,2
38,2
39,2
40,4
41,2
42,2
43,2
44,2
45,5
46,5
47,2
48,5
49,4
50,2
51,2
52,2
53,2
54,4
55,2
56,2
57,2
58,2
59,4
60,2
61,2
62,4
63,2
64,5
65,5
66,2
67,2
68,2
69,4
70,1
71,5
72,2
73,5
74,2
75,2
76,2
77,2
78,2
79,4
80,2
81,5
82,2
83,4
84,2
85,5
86,5
87,5
88,2
89,4
90,5
91,2
92,2
93,1
94,4
95,4
96,5
97,2
98,2
99,1
100,4
101,2
102,4
103,2
104,4
105,1
106,2
107,4
108,2
109,4
110,4
111,5
112,2
113,4
114,5
115,2
116,2
117,1
118,4
119,5
120,2
121,4
122,2
123,5
124,4
125,4
126,4
127,2
128,4
129,1
130,2
131,4
132,4
133,2
134,4
135,4
136,5
137,2
138,4
139,4
140,4
141,1
142,4
143,4
144,3
145,1
146,2
147,2
148,2
149,1
150,4
151,2
152,4
153,4
154,5
155,5
156,2
157,5
158,4
159,4
160,5
161,4
162,4
163,4
164,4
165,2
166,1
167,5
168,4
169,4
170,3
171,4
172,2
173,1
174,2
175,4
176,1
177,2
178,1
179,2
180,1
181,2
182,5
183,4
184,2
185,4
186,4
187,4
188,2
189,2
190,2
191,5
192,2
193,4
194,5
195,2
196,1
197,5
198,4
199,5
200,2
201,2
202,4
203,4
204,2
205,2
206,2
207,2
208,4
209,5
210,5
211,2
212,4
213,4
214,5
215,5
216,4
217,2
218,1
219,5
220,4
221,2
222,5
223,2
224,5
225,4
226,2
227,4
228,5
229,4
230,5
231,5
232,2
233,4
234,2
235,4
236,2
237,4
238,2
239,2
240,4
241,2
242,4
243,4
244,4
245,2
246,1
247,5
248,2
249,2
250,4
251,4
252,4
253,5
254,4
255,4
256,1
257,1
258,4
259,4
260,2
261,2
262,4
263,2
264,5
265,4
266,2
267,1
268,4
269,1
